name,color,effect 1,effect 2,effect 3,amount of effects,
Fell Omen Fetish,blue,Switching Weapons Boosts Attack Power,Improved Throwing Knife Damage,Vigor +1,3,
Old Pocketwatch,green,FP restoration upon successive attacks,Dexterity +3,,2,
Besmirched Frame,blue,Taking attacks improves attack power,Faith +3,,2,
Slate Whetstone,red,[Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Physical Attack Up,,2,
Silver Tear,red,[Wylder] Art gauge greatly filled when ability is activated,Ultimate Art Guage +3,Arcane +3,3,
The Wylder's Earring,red,[Wylder] Art activation spreads fire in area,[Wylder] +1 additional Character Skill use,Stamina recovers with each successful attack,3,
Stone Stake,red,[Guardian] Increased duration for Character Skill,Character Skill Cooldown Reduction +3,,2,
Third Volume,red,[Guardian] Creates whirlwind when charging halberd attacks,HP Restoration upon Halberd Attacks,,2,
Cracked Witch's Brooch,blue,[Guardian] Slowly restores nearby allies' HP while Art is active,[Guardian] Successful guards send out shockwaves while ability is active,Vigor +3,3,
Witch's Brooch,blue,[Guardian] Slowly restores nearby allies' HP while Art is active,[Guardian] Successful guards send out shockwaves while ability is active,Vigor +3,3,
Cracked Sealing Wax,yellow,[Ironeye] Extends duration of weak point,Critical Hits Earn Runes,,2,
Edge of Order,yellow,[Ironeye] Boosts thrusting counterattacks after executing Art,Starting armament deals holy damage,Improved Bow Attack Power,3,
Golden Dew,yellow,[Duchess] Improved Character Skill Attack Power,Boosts Attack Power of Added Affinity Attacks,,2,
Crown Medal,green,[Duchess] Dagger chain attack reprises event upon enemies,Improved Dagger Attack Power,,2,
Blessed Iron Coin,green,[Duchess] Defeating enemies while Art is active ups attack power,Continuous HP Recovery,Vigor +3,3,
Torn Braided Cord,blue,[Raider] Damage taken while using Character Skill improves attack power and stamina,Strength +3,,2,
Black Claw Necklace,yellow,Defeating enemies near Totem Stela restores HP,Defeating enemies fills more of the Art gauge,Poise +3,3,
Small Makeup Brush,blue,[Revenant] Power up while fighting alongside family,Increased rune acquisition for self and allies,,2,
Old Portrait,blue,[Revenant] Trigger ghostflame explosion during Ultimate Art activation,[Revenant] Expend own HP to fully heal nearby allies when activating Art,Defeating enemies fills more of the Art gauge,3,
Vestige of Night,green,[Recluse] Collecting affinity residue activates Terra Magica,Magic Attack Power Up +2,,2,
Bone-Like Stone,green,[Recluse] Activating Ultimate Art raises Max HP,[Recluse] Suffer blood loss and increase attack power upon Art activation,Intelligence +3,3,
Blessed Flowers,green,[Executor] While Character Skill is active unlocking use of cursed sword restores HP,Dexterity +3,,2,
Golden Sprout,red,[Executor] Roaring restores HP while art is active,HP Recovery From Successful Guarding,Slowly restore HP for self and nearby allies when HP is low,3,
Night of the Beast,green,Stamina recovers with each successful attack +1,Starting armament deals fire damage,,2,
Night of the Baron,blue,Improved Critical Hits +1,Art gauge fills moderately upon critical hit,Critical Hit Boosts Stamina Recovery Speed,3,
Night of the Wise,yellow,Increased Maximum FP,Starting armament inflicts poison,Poison & Rot in Vicinity Increases Attack Power,3,
Night of the Fathom,red,Increased Maximum HP,Flask Also Heals Allies,Items confer effect to all nearby allies,3,
Night of the Demon,red,Huge rune discount for shop purchases while on expedition,Gesture "Crossed Legs" Builds Up Madness,Madness Continually Recovers FP,3,
Night of the Champion,green,Increased Maximum Stamina,Guard counter is given a boost based on current HP,HP Restoration upon Thrusting Counterattack,3,
Night of the Miasma,yellow,Nearby Frostbite Conceals Self,Changes Compatible armament's skill to Chilling Mist at start of expedition,Attack power up when facing frostbite-afflicted enemy,3,
Night of the Lord,blue,Switching Weapons Adds an Affinity Attack,Boosts Attack Power of Added Affinity Attacks,Switching Weapons Boosts Attack Power,3,
Dark Night of the Baron,red,Improved Critical Hits +1,Improved Critical Hits,Critical Hits Earn Runes,3,
Dark Night of the Champion,yellow,Increased Maximum Stamina,Boosts Attack Power of Added Affinity Attacks,Defeating enemies fills more of the Art gauge,3,
Dark Night of the Wise,green,Increased Maximum FP,FP Restoration upon successive attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism,3,
Dark Night of the Fathom,blue,Increased Maximum HP,Continuous HP Recovery,Slowly restore HP for you and nearby Allies at low HP,3,
Dark Night of the Miasma,green,Frostbite in Vicinity Conceals Self,Starting armament inflicts frost,Improved Physical Damage Negation,3,
Dark Night of the Demon,blue,Taking attacks improves attack power,Gesture "Crossed Legs" Builds Up Madness,Madness Continually Recovers FP,3,
Dark Night of the Beast,yellow,Stamina Recovery upon Landing Attacks +1,Taking attacks improves attack power,Fire Attack Power up +2,3,
The Will of the Balancers (DLC),blue,Improved Melee Attack Power,Improved Skill Attack Power,Continuous FP Recovery,3,
The Night of the Dregs (DLC),red,Status Ailment Gauges Slowly Increase Attack Power,Attacks Inflict Rot when Damage is Taken,Rot in Vicinity Causes Continuous HP Recovery,3,
Cleansing Tear (DLC),red,[Scholar] Continuous damage inflicted on targets threaded by Ultimate Art,Improved Affinity Damage Negation,Defeating enemies fills more of the Art gauge,3,
Note "My Dear Successor" (DLC),yellow,[Scholar] Allies targeted by Character Skill gain boosted attack,[Scholar] Prevent slowing of Character Skill progress,Character Skill Cooldown Reduction +3,3,
Leather Monocle Case (DLC),yellow,[Undertaker] Physical attacks boosted while assist effect from incantation is active for self,Extend Spell Duration,Physical Attack Up +2,3,
Glass Necklace (DLC),green,[Undertaker] Activating Ultimate Art increases attack power,Successive Attacks Boost Attack Power,Ultimate Art Auto Charge +3,3,
